,Date,High Temp,Low Temp,condition
0,THU,54,37,few clouds
1,FRI,60,42,broken clouds
2,SAT,65,55,broken clouds
3,SUN,66,34,heavy rain
4,MON,50,32,light shower rain
5,TUE,50,34,clear sky
6,WED,52,38,few clouds
