,Date,High Temp,Low Temp,condition
0,THU,69,46,scattered clouds
1,FRI,67,48,few clouds
2,SAT,69,48,few clouds
3,SUN,69,51,scattered clouds
4,MON,71,59,broken clouds
5,TUE,70,58,few clouds
6,WED,70,58,clear sky
