,Date,High Temp,Low Temp,condition
0,THU,46,38,broken clouds
1,FRI,52,44,broken clouds
2,SAT,52,33,light rain
3,SUN,36,28,mix snow/rain
4,MON,37,32,flurries
5,TUE,37,28,broken clouds
6,WED,37,30,few clouds
