,Date,High Temp,Low Temp,condition
0,THU,73,67,broken clouds
1,FRI,77,71,overcast clouds
2,SAT,80,73,scattered clouds
3,SUN,80,65,thunderstorm with rain
4,MON,76,63,thunderstorm with rain
5,TUE,76,70,overcast clouds
6,WED,78,70,moderate rain
