,Date,High Temp,Low Temp,condition
0,THU,51,43,scattered clouds
1,FRI,55,48,broken clouds
2,SAT,53,30,light rain
3,SUN,36,26,mix snow/rain
4,MON,39,35,scattered clouds
5,TUE,40,31,overcast clouds
6,WED,38,35,scattered clouds
