,Date,High Temp,Low Temp,condition
0,WED,39,32,mix snow/rain
1,THU,47,36,broken clouds
2,FRI,56,42,broken clouds
3,SAT,53,47,broken clouds
4,SUN,56,47,heavy rain
5,MON,48,42,scattered clouds
6,TUE,46,40,scattered clouds
